entry,exit,seg,n,mean,win,exw,t
EN2_0轴下金叉,XA_固定持有5日,验证2023-2024,62269,0.008117021221519211,0.47681832051261464,-0.0036179333032876028,-3.395155652101699
EN2_0轴下金叉,XA_固定持有5日,测试2025-2026,50688,0.004144990431940511,0.4922466856060606,-0.0022935774634346793,-2.6041631627947783
EN2_0轴下金叉,XA_固定持有10日,训练2015-2022,147400,0.006490539207515215,0.5083446404341927,-0.005056919298008808,-6.15055810122112
EN2_0轴下金叉,XA_固定持有10日,验证2023-2024,62269,0.00819747173504443,0.4815397709935923,-0.0050187946461620805,-3.5667532759518275
EN2_0轴下金叉,XA_固定持有10日,测试2025-2026,50340,0.015209453319876349,0.5522050059594755,-0.004683342280269844,-3.8289972185702634
EN2_0轴下金叉,XA_固定持有20日,训练2015-2022,147400,0.015226075659243426,0.5171370420624152,-0.006005319527464564,-5.6334027651435745
EN2_0轴下金叉,XA_固定持有20日,验证2023-2024,62269,0.02730572743461642,0.5055966853490501,-0.004568739191163272,-2.175266094715747
EN2_0轴下金叉,XA_固定持有20日,测试2025-2026,49325,0.02819878692745732,0.5766041561074506,-0.008596651147661987,-5.040674805530426
EN2_0轴下金叉,XA_固定持有30日,训练2015-2022,147400,0.022606166200308146,0.518303934871099,-0.007236397801900185,-5.51373387705688
EN2_0轴下金叉,XA_固定持有30日,验证2023-2024,62269,0.03102841510706429,0.49229953909650065,-0.0012668999551391118,-0.41350101191184524
EN2_0轴下金叉,XA_固定持有30日,测试2025-2026,49177,0.04088388196402337,0.5805559509526811,-0.005757538282624687,-3.001710197692279
EN2_0轴下金叉,XA_固定持有40日,训练2015-2022,147400,0.030508469499765805,0.5114246947082768,-0.006618074936917281,-4.98574487261166
EN2_0轴下金叉,XA_固定持有40日,验证2023-2024,62269,0.03346874684806587,0.47183992034559735,-0.00037212621060498665,-0.11506230747745752
EN2_0轴下金叉,XA_固定持有40日,测试2025-2026,46521,0.043419804476273145,0.5644332666967606,-0.0057712703119241196,-2.4940749202685835
EN2_0轴下金叉,XA_固定持有60日,训练2015-2022,147400,0.042390037078328835,0.5006241519674356,-0.010669591949175895,-5.821571047742719
EN2_0轴下金叉,XA_固定持有60日,验证2023-2024,62269,0.060547857262531285,0.5162600973196936,-0.002250809070438966,-0.6856903515521078
EN2_0轴下金叉,XA_固定持有60日,测试2025-2026,42558,0.046826602880703276,0.5153672634992246,-0.011648317724075537,-4.406721614441516
EN2_0轴下金叉,XB_跌破MA20,训练2015-2022,147400,0.004270597762783097,0.35398236092265944,-0.00924819994472542,-5.4361506026410975
EN2_0轴下金叉,XB_跌破MA20,验证2023-2024,62269,0.01085281938974607,0.35420514220559185,-0.006847838763289319,-2.03057036885578
EN2_0轴下金叉,XB_跌破MA20,测试2025-2026,49292,0.006613640637984826,0.3533230544510265,-0.019467668365275356,-7.363265623470328
EN2_0轴下金叉,XC_跌破MA60,训练2015-2022,147400,0.0033043237690155865,0.4182225237449118,-0.008758985805978507,-4.397183078458124
EN2_0轴下金叉,XC_跌破MA60,验证2023-2024,62269,0.006095290213100487,0.4182819701617177,-0.00810075963122925,-2.288361960995009
EN2_0轴下金叉,XC_跌破MA60,测试2025-2026,49290,0.004046472267685585,0.41174680462568475,-0.019760590313445566,-7.132025759092995
EN2_0轴下金叉,XD_ATR2倍止损,训练2015-2022,147400,0.022962493209190894,0.34619402985074627,-0.002844699790185801,-1.0899220298684393
EN2_0轴下金叉,XD_ATR2倍止损,验证2023-2024,62269,0.032781985946325316,0.320207486871477,0.00017469719131879002,0.04360880650706995
EN2_0轴下金叉,XD_ATR2倍止损,测试2025-2026,44372,0.0266407483393237,0.3446092130172181,-0.01421625584967849,-3.5466276652978266
